hand_landmark,lmx,lmy,gesture
HandLandmark.THUMB_CMC,267,513,five
HandLandmark.THUMB_MCP,244,449,five
HandLandmark.THUMB_IP,230,394,five
HandLandmark.THUMB_TIP,214,355,five
HandLandmark.INDEX_FINGER_MCP,277,372,five
HandLandmark.INDEX_FINGER_PIP,270,303,five
HandLandmark.INDEX_FINGER_DIP,267,262,five
HandLandmark.INDEX_FINGER_TIP,267,225,five
HandLandmark.MIDDLE_FINGER_MCP,299,367,five
HandLandmark.MIDDLE_FINGER_PIP,301,290,five
HandLandmark.MIDDLE_FINGER_DIP,302,242,five
HandLandmark.MIDDLE_FINGER_TIP,305,201,five
HandLandmark.RING_FINGER_MCP,319,379,five
HandLandmark.RING_FINGER_PIP,327,310,five
HandLandmark.RING_FINGER_DIP,331,266,five
HandLandmark.RING_FINGER_TIP,335,226,five
HandLandmark.PINKY_MCP,337,401,five
HandLandmark.PINKY_PIP,347,350,five
HandLandmark.PINKY_DIP,352,315,five
HandLandmark.PINKY_TIP,356,282,five
HandLandmark.WRIST,294,536,five
HandLandmark.THUMB_CMC,263,501,five
HandLandmark.THUMB_MCP,240,438,five
HandLandmark.THUMB_IP,226,384,five
HandLandmark.THUMB_TIP,209,348,five
HandLandmark.INDEX_FINGER_MCP,272,363,five
HandLandmark.INDEX_FINGER_PIP,266,295,five
HandLandmark.INDEX_FINGER_DIP,263,255,five
HandLandmark.INDEX_FINGER_TIP,262,219,five
HandLandmark.MIDDLE_FINGER_MCP,295,358,five
HandLandmark.MIDDLE_FINGER_PIP,297,282,five
HandLandmark.MIDDLE_FINGER_DIP,298,234,five
HandLandmark.MIDDLE_FINGER_TIP,300,194,five
HandLandmark.RING_FINGER_MCP,315,369,five
HandLandmark.RING_FINGER_PIP,322,301,five
HandLandmark.RING_FINGER_DIP,326,256,five
HandLandmark.RING_FINGER_TIP,329,215,five
HandLandmark.PINKY_MCP,333,390,five
HandLandmark.PINKY_PIP,343,340,five
HandLandmark.PINKY_DIP,349,306,five
HandLandmark.PINKY_TIP,353,272,five
HandLandmark.WRIST,294,535,five
HandLandmark.THUMB_CMC,262,499,five
HandLandmark.THUMB_MCP,239,438,five
HandLandmark.THUMB_IP,225,385,five
HandLandmark.THUMB_TIP,209,348,five
HandLandmark.INDEX_FINGER_MCP,273,362,five
HandLandmark.INDEX_FINGER_PIP,267,294,five
HandLandmark.INDEX_FINGER_DIP,264,254,five
HandLandmark.INDEX_FINGER_TIP,263,217,five
HandLandmark.MIDDLE_FINGER_MCP,296,358,five
HandLandmark.MIDDLE_FINGER_PIP,297,282,five
HandLandmark.MIDDLE_FINGER_DIP,299,234,five
HandLandmark.MIDDLE_FINGER_TIP,301,195,five
HandLandmark.RING_FINGER_MCP,315,369,five
HandLandmark.RING_FINGER_PIP,322,301,five
HandLandmark.RING_FINGER_DIP,327,257,five
HandLandmark.RING_FINGER_TIP,331,218,five
HandLandmark.PINKY_MCP,333,391,five
HandLandmark.PINKY_PIP,342,342,five
HandLandmark.PINKY_DIP,348,307,five
HandLandmark.PINKY_TIP,352,274,five
HandLandmark.WRIST,295,523,five
HandLandmark.THUMB_CMC,263,486,five
HandLandmark.THUMB_MCP,240,422,five
HandLandmark.THUMB_IP,225,371,five
HandLandmark.THUMB_TIP,208,337,five
HandLandmark.INDEX_FINGER_MCP,271,350,five
HandLandmark.INDEX_FINGER_PIP,264,282,five
HandLandmark.INDEX_FINGER_DIP,261,242,five
HandLandmark.INDEX_FINGER_TIP,260,207,five
HandLandmark.MIDDLE_FINGER_MCP,293,345,five
HandLandmark.MIDDLE_FINGER_PIP,293,269,five
HandLandmark.MIDDLE_FINGER_DIP,294,222,five
HandLandmark.MIDDLE_FINGER_TIP,295,182,five
HandLandmark.RING_FINGER_MCP,312,355,five
HandLandmark.RING_FINGER_PIP,319,288,five
HandLandmark.RING_FINGER_DIP,323,243,five
HandLandmark.RING_FINGER_TIP,325,203,five
HandLandmark.PINKY_MCP,331,377,five
HandLandmark.PINKY_PIP,339,327,five
HandLandmark.PINKY_DIP,344,291,five
HandLandmark.PINKY_TIP,347,257,five
HandLandmark.WRIST,296,523,five
HandLandmark.THUMB_CMC,264,488,five
HandLandmark.THUMB_MCP,241,427,five
HandLandmark.THUMB_IP,227,374,five
HandLandmark.THUMB_TIP,211,337,five
HandLandmark.INDEX_FINGER_MCP,272,350,five
HandLandmark.INDEX_FINGER_PIP,265,282,five
HandLandmark.INDEX_FINGER_DIP,262,242,five
HandLandmark.INDEX_FINGER_TIP,261,205,five
HandLandmark.MIDDLE_FINGER_MCP,295,345,five
HandLandmark.MIDDLE_FINGER_PIP,295,269,five
HandLandmark.MIDDLE_FINGER_DIP,296,221,five
HandLandmark.MIDDLE_FINGER_TIP,297,181,five
HandLandmark.RING_FINGER_MCP,314,355,five
HandLandmark.RING_FINGER_PIP,320,286,five
HandLandmark.RING_FINGER_DIP,324,241,five
HandLandmark.RING_FINGER_TIP,327,202,five
HandLandmark.PINKY_MCP,332,376,five
HandLandmark.PINKY_PIP,340,326,five
HandLandmark.PINKY_DIP,345,291,five
HandLandmark.PINKY_TIP,349,257,five
HandLandmark.WRIST,298,528,five
HandLandmark.THUMB_CMC,265,493,five
HandLandmark.THUMB_MCP,242,430,five
HandLandmark.THUMB_IP,228,377,five
HandLandmark.THUMB_TIP,211,340,five
HandLandmark.INDEX_FINGER_MCP,274,354,five
HandLandmark.INDEX_FINGER_PIP,266,286,five
HandLandmark.INDEX_FINGER_DIP,262,245,five
HandLandmark.INDEX_FINGER_TIP,261,208,five
HandLandmark.MIDDLE_FINGER_MCP,296,348,five
HandLandmark.MIDDLE_FINGER_PIP,295,272,five
HandLandmark.MIDDLE_FINGER_DIP,297,224,five
HandLandmark.MIDDLE_FINGER_TIP,298,184,five
HandLandmark.RING_FINGER_MCP,316,358,five
HandLandmark.RING_FINGER_PIP,321,290,five
HandLandmark.RING_FINGER_DIP,325,246,five
HandLandmark.RING_FINGER_TIP,328,207,five
HandLandmark.PINKY_MCP,334,379,five
HandLandmark.PINKY_PIP,341,330,five
HandLandmark.PINKY_DIP,345,295,five
HandLandmark.PINKY_TIP,349,262,five
HandLandmark.WRIST,298,528,five
HandLandmark.THUMB_CMC,266,493,five
HandLandmark.THUMB_MCP,242,431,five
HandLandmark.THUMB_IP,228,378,five
HandLandmark.THUMB_TIP,211,341,five
HandLandmark.INDEX_FINGER_MCP,273,355,five
HandLandmark.INDEX_FINGER_PIP,266,286,five
HandLandmark.INDEX_FINGER_DIP,262,246,five
HandLandmark.INDEX_FINGER_TIP,261,208,five
HandLandmark.MIDDLE_FINGER_MCP,296,348,five
HandLandmark.MIDDLE_FINGER_PIP,296,273,five
HandLandmark.MIDDLE_FINGER_DIP,297,225,five
HandLandmark.MIDDLE_FINGER_TIP,298,185,five
HandLandmark.RING_FINGER_MCP,315,358,five
HandLandmark.RING_FINGER_PIP,321,291,five
HandLandmark.RING_FINGER_DIP,325,246,five
HandLandmark.RING_FINGER_TIP,328,207,five
HandLandmark.PINKY_MCP,333,379,five
HandLandmark.PINKY_PIP,341,329,five
HandLandmark.PINKY_DIP,345,295,five
HandLandmark.PINKY_TIP,349,261,five
HandLandmark.WRIST,298,531,five
HandLandmark.THUMB_CMC,266,496,five
HandLandmark.THUMB_MCP,243,434,five
HandLandmark.THUMB_IP,228,380,five
HandLandmark.THUMB_TIP,211,343,five
HandLandmark.INDEX_FINGER_MCP,274,357,five
HandLandmark.INDEX_FINGER_PIP,266,288,five
HandLandmark.INDEX_FINGER_DIP,262,247,five
HandLandmark.INDEX_FINGER_TIP,261,209,five
HandLandmark.MIDDLE_FINGER_MCP,296,351,five
HandLandmark.MIDDLE_FINGER_PIP,296,275,five
HandLandmark.MIDDLE_FINGER_DIP,297,226,five
HandLandmark.MIDDLE_FINGER_TIP,298,185,five
HandLandmark.RING_FINGER_MCP,316,361,five
HandLandmark.RING_FINGER_PIP,321,292,five
HandLandmark.RING_FINGER_DIP,325,247,five
HandLandmark.RING_FINGER_TIP,327,207,five
HandLandmark.PINKY_MCP,334,382,five
HandLandmark.PINKY_PIP,341,332,five
HandLandmark.PINKY_DIP,345,296,five
HandLandmark.PINKY_TIP,348,262,five
HandLandmark.WRIST,298,531,five
HandLandmark.THUMB_CMC,266,496,five
HandLandmark.THUMB_MCP,243,434,five
HandLandmark.THUMB_IP,229,381,five
HandLandmark.THUMB_TIP,211,344,five
HandLandmark.INDEX_FINGER_MCP,274,358,five
HandLandmark.INDEX_FINGER_PIP,266,288,five
HandLandmark.INDEX_FINGER_DIP,262,248,five
HandLandmark.INDEX_FINGER_TIP,261,210,five
HandLandmark.MIDDLE_FINGER_MCP,296,351,five
HandLandmark.MIDDLE_FINGER_PIP,295,275,five
HandLandmark.MIDDLE_FINGER_DIP,297,227,five
HandLandmark.MIDDLE_FINGER_TIP,298,186,five
HandLandmark.RING_FINGER_MCP,316,361,five
HandLandmark.RING_FINGER_PIP,321,292,five
HandLandmark.RING_FINGER_DIP,325,247,five
HandLandmark.RING_FINGER_TIP,328,207,five
HandLandmark.PINKY_MCP,334,382,five
HandLandmark.PINKY_PIP,341,331,five
HandLandmark.PINKY_DIP,345,296,five
HandLandmark.PINKY_TIP,348,262,five
HandLandmark.WRIST,300,530,five
HandLandmark.THUMB_CMC,267,494,five
HandLandmark.THUMB_MCP,243,433,five
HandLandmark.THUMB_IP,230,380,five
HandLandmark.THUMB_TIP,213,343,five
HandLandmark.INDEX_FINGER_MCP,274,357,five
HandLandmark.INDEX_FINGER_PIP,267,288,five
HandLandmark.INDEX_FINGER_DIP,263,248,five
HandLandmark.INDEX_FINGER_TIP,261,210,five
HandLandmark.MIDDLE_FINGER_MCP,297,351,five
HandLandmark.MIDDLE_FINGER_PIP,296,275,five
HandLandmark.MIDDLE_FINGER_DIP,297,227,five
HandLandmark.MIDDLE_FINGER_TIP,299,186,five
HandLandmark.RING_FINGER_MCP,316,360,five
HandLandmark.RING_FINGER_PIP,321,293,five
HandLandmark.RING_FINGER_DIP,325,248,five
HandLandmark.RING_FINGER_TIP,328,208,five
HandLandmark.PINKY_MCP,334,381,five
HandLandmark.PINKY_PIP,341,331,five
HandLandmark.PINKY_DIP,345,296,five
HandLandmark.PINKY_TIP,348,262,five
HandLandmark.WRIST,299,529,five
HandLandmark.THUMB_CMC,267,494,five
HandLandmark.THUMB_MCP,244,432,five
HandLandmark.THUMB_IP,231,379,five
HandLandmark.THUMB_TIP,213,343,five
HandLandmark.INDEX_FINGER_MCP,275,356,five
HandLandmark.INDEX_FINGER_PIP,268,287,five
HandLandmark.INDEX_FINGER_DIP,264,247,five
HandLandmark.INDEX_FINGER_TIP,262,209,five
HandLandmark.MIDDLE_FINGER_MCP,297,349,five
HandLandmark.MIDDLE_FINGER_PIP,297,274,five
HandLandmark.MIDDLE_FINGER_DIP,298,225,five
HandLandmark.MIDDLE_FINGER_TIP,299,184,five
HandLandmark.RING_FINGER_MCP,316,359,five
HandLandmark.RING_FINGER_PIP,322,292,five
HandLandmark.RING_FINGER_DIP,326,247,five
HandLandmark.RING_FINGER_TIP,328,206,five
HandLandmark.PINKY_MCP,334,380,five
HandLandmark.PINKY_PIP,341,330,five
HandLandmark.PINKY_DIP,346,295,five
HandLandmark.PINKY_TIP,349,261,five
HandLandmark.WRIST,300,528,five
HandLandmark.THUMB_CMC,268,491,five
HandLandmark.THUMB_MCP,245,431,five
HandLandmark.THUMB_IP,231,379,five
HandLandmark.THUMB_TIP,214,342,five
HandLandmark.INDEX_FINGER_MCP,276,355,five
HandLandmark.INDEX_FINGER_PIP,268,286,five
HandLandmark.INDEX_FINGER_DIP,264,246,five
HandLandmark.INDEX_FINGER_TIP,263,208,five
HandLandmark.MIDDLE_FINGER_MCP,298,349,five
HandLandmark.MIDDLE_FINGER_PIP,297,274,five
HandLandmark.MIDDLE_FINGER_DIP,298,225,five
HandLandmark.MIDDLE_FINGER_TIP,299,184,five
HandLandmark.RING_FINGER_MCP,317,359,five
HandLandmark.RING_FINGER_PIP,322,292,five
HandLandmark.RING_FINGER_DIP,326,247,five
HandLandmark.RING_FINGER_TIP,328,207,five
HandLandmark.PINKY_MCP,336,380,five
HandLandmark.PINKY_PIP,342,329,five
HandLandmark.PINKY_DIP,346,294,five
HandLandmark.PINKY_TIP,349,261,five
HandLandmark.WRIST,300,528,five
HandLandmark.THUMB_CMC,268,492,five
HandLandmark.THUMB_MCP,245,431,five
HandLandmark.THUMB_IP,231,379,five
HandLandmark.THUMB_TIP,214,342,five
HandLandmark.INDEX_FINGER_MCP,276,355,five
HandLandmark.INDEX_FINGER_PIP,268,287,five
HandLandmark.INDEX_FINGER_DIP,264,246,five
HandLandmark.INDEX_FINGER_TIP,263,208,five
HandLandmark.MIDDLE_FINGER_MCP,298,349,five
HandLandmark.MIDDLE_FINGER_PIP,297,273,five
HandLandmark.MIDDLE_FINGER_DIP,298,225,five
HandLandmark.MIDDLE_FINGER_TIP,299,184,five
HandLandmark.RING_FINGER_MCP,317,359,five
HandLandmark.RING_FINGER_PIP,322,291,five
HandLandmark.RING_FINGER_DIP,326,246,five
HandLandmark.RING_FINGER_TIP,328,206,five
HandLandmark.PINKY_MCP,335,379,five
HandLandmark.PINKY_PIP,342,329,five
HandLandmark.PINKY_DIP,346,294,five
HandLandmark.PINKY_TIP,349,260,five
HandLandmark.WRIST,302,528,five
HandLandmark.THUMB_CMC,270,493,five
HandLandmark.THUMB_MCP,247,432,five
HandLandmark.THUMB_IP,234,379,five
HandLandmark.THUMB_TIP,217,342,five
HandLandmark.INDEX_FINGER_MCP,277,355,five
HandLandmark.INDEX_FINGER_PIP,270,285,five
HandLandmark.INDEX_FINGER_DIP,266,244,five
HandLandmark.INDEX_FINGER_TIP,264,206,five
HandLandmark.MIDDLE_FINGER_MCP,299,349,five
HandLandmark.MIDDLE_FINGER_PIP,299,272,five
HandLandmark.MIDDLE_FINGER_DIP,300,223,five
HandLandmark.MIDDLE_FINGER_TIP,301,182,five
HandLandmark.RING_FINGER_MCP,319,359,five
HandLandmark.RING_FINGER_PIP,324,290,five
HandLandmark.RING_FINGER_DIP,327,245,five
HandLandmark.RING_FINGER_TIP,330,205,five
HandLandmark.PINKY_MCP,338,379,five
HandLandmark.PINKY_PIP,344,329,five
HandLandmark.PINKY_DIP,348,294,five
HandLandmark.PINKY_TIP,351,260,five
HandLandmark.WRIST,302,528,five
HandLandmark.THUMB_CMC,270,493,five
HandLandmark.THUMB_MCP,247,431,five
HandLandmark.THUMB_IP,234,378,five
HandLandmark.THUMB_TIP,217,341,five
HandLandmark.INDEX_FINGER_MCP,277,355,five
HandLandmark.INDEX_FINGER_PIP,270,286,five
HandLandmark.INDEX_FINGER_DIP,266,245,five
HandLandmark.INDEX_FINGER_TIP,265,208,five
HandLandmark.MIDDLE_FINGER_MCP,299,349,five
HandLandmark.MIDDLE_FINGER_PIP,299,273,five
HandLandmark.MIDDLE_FINGER_DIP,300,224,five
HandLandmark.MIDDLE_FINGER_TIP,302,184,five
HandLandmark.RING_FINGER_MCP,319,359,five
HandLandmark.RING_FINGER_PIP,324,291,five
HandLandmark.RING_FINGER_DIP,327,246,five
HandLandmark.RING_FINGER_TIP,330,206,five
HandLandmark.PINKY_MCP,337,380,five
HandLandmark.PINKY_PIP,344,330,five
HandLandmark.PINKY_DIP,347,295,five
HandLandmark.PINKY_TIP,350,261,five
HandLandmark.WRIST,307,526,five
HandLandmark.THUMB_CMC,274,490,five
HandLandmark.THUMB_MCP,250,430,five
HandLandmark.THUMB_IP,237,377,five
HandLandmark.THUMB_TIP,222,339,five
HandLandmark.INDEX_FINGER_MCP,280,354,five
HandLandmark.INDEX_FINGER_PIP,273,285,five
HandLandmark.INDEX_FINGER_DIP,270,244,five
HandLandmark.INDEX_FINGER_TIP,270,206,five
HandLandmark.MIDDLE_FINGER_MCP,303,348,five
HandLandmark.MIDDLE_FINGER_PIP,303,271,five
HandLandmark.MIDDLE_FINGER_DIP,304,223,five
HandLandmark.MIDDLE_FINGER_TIP,306,182,five
HandLandmark.RING_FINGER_MCP,323,357,five
HandLandmark.RING_FINGER_PIP,328,289,five
HandLandmark.RING_FINGER_DIP,332,244,five
HandLandmark.RING_FINGER_TIP,334,205,five
HandLandmark.PINKY_MCP,342,379,five
HandLandmark.PINKY_PIP,349,329,five
HandLandmark.PINKY_DIP,353,294,five
HandLandmark.PINKY_TIP,356,260,five
HandLandmark.WRIST,309,526,five
HandLandmark.THUMB_CMC,277,489,five
HandLandmark.THUMB_MCP,253,430,five
HandLandmark.THUMB_IP,240,378,five
HandLandmark.THUMB_TIP,224,340,five
HandLandmark.INDEX_FINGER_MCP,283,354,five
HandLandmark.INDEX_FINGER_PIP,276,285,five
HandLandmark.INDEX_FINGER_DIP,273,244,five
HandLandmark.INDEX_FINGER_TIP,272,207,five
HandLandmark.MIDDLE_FINGER_MCP,305,348,five
HandLandmark.MIDDLE_FINGER_PIP,305,272,five
HandLandmark.MIDDLE_FINGER_DIP,307,223,five
HandLandmark.MIDDLE_FINGER_TIP,309,182,five
HandLandmark.RING_FINGER_MCP,325,358,five
HandLandmark.RING_FINGER_PIP,330,288,five
HandLandmark.RING_FINGER_DIP,334,243,five
HandLandmark.RING_FINGER_TIP,336,204,five
HandLandmark.PINKY_MCP,344,379,five
HandLandmark.PINKY_PIP,352,328,five
HandLandmark.PINKY_DIP,356,292,five
HandLandmark.PINKY_TIP,359,258,five
HandLandmark.WRIST,309,525,five
HandLandmark.THUMB_CMC,278,489,five
HandLandmark.THUMB_MCP,254,430,five
HandLandmark.THUMB_IP,240,379,five
HandLandmark.THUMB_TIP,223,342,five
HandLandmark.INDEX_FINGER_MCP,284,354,five
HandLandmark.INDEX_FINGER_PIP,276,285,five
HandLandmark.INDEX_FINGER_DIP,273,245,five
HandLandmark.INDEX_FINGER_TIP,272,207,five
HandLandmark.MIDDLE_FINGER_MCP,306,348,five
HandLandmark.MIDDLE_FINGER_PIP,305,272,five
HandLandmark.MIDDLE_FINGER_DIP,307,224,five
HandLandmark.MIDDLE_FINGER_TIP,308,183,five
HandLandmark.RING_FINGER_MCP,325,358,five
HandLandmark.RING_FINGER_PIP,330,290,five
HandLandmark.RING_FINGER_DIP,334,246,five
HandLandmark.RING_FINGER_TIP,336,206,five
HandLandmark.PINKY_MCP,343,379,five
HandLandmark.PINKY_PIP,351,329,five
HandLandmark.PINKY_DIP,355,294,five
HandLandmark.PINKY_TIP,358,260,five
HandLandmark.WRIST,312,523,five
HandLandmark.THUMB_CMC,279,488,five
HandLandmark.THUMB_MCP,256,428,five
HandLandmark.THUMB_IP,242,376,five
HandLandmark.THUMB_TIP,226,339,five
HandLandmark.INDEX_FINGER_MCP,285,351,five
HandLandmark.INDEX_FINGER_PIP,278,283,five
HandLandmark.INDEX_FINGER_DIP,274,243,five
HandLandmark.INDEX_FINGER_TIP,273,206,five
HandLandmark.MIDDLE_FINGER_MCP,307,345,five
HandLandmark.MIDDLE_FINGER_PIP,307,270,five
HandLandmark.MIDDLE_FINGER_DIP,308,222,five
HandLandmark.MIDDLE_FINGER_TIP,310,182,five
HandLandmark.RING_FINGER_MCP,327,355,five
HandLandmark.RING_FINGER_PIP,333,287,five
HandLandmark.RING_FINGER_DIP,336,243,five
HandLandmark.RING_FINGER_TIP,339,204,five
HandLandmark.PINKY_MCP,346,376,five
HandLandmark.PINKY_PIP,354,326,five
HandLandmark.PINKY_DIP,358,290,five
HandLandmark.PINKY_TIP,361,255,five
HandLandmark.WRIST,313,519,five
HandLandmark.THUMB_CMC,281,485,five
HandLandmark.THUMB_MCP,257,426,five
HandLandmark.THUMB_IP,243,374,five
HandLandmark.THUMB_TIP,227,336,five
HandLandmark.INDEX_FINGER_MCP,286,349,five
HandLandmark.INDEX_FINGER_PIP,279,281,five
HandLandmark.INDEX_FINGER_DIP,275,241,five
HandLandmark.INDEX_FINGER_TIP,274,203,five
HandLandmark.MIDDLE_FINGER_MCP,308,343,five
HandLandmark.MIDDLE_FINGER_PIP,308,268,five
HandLandmark.MIDDLE_FINGER_DIP,309,221,five
HandLandmark.MIDDLE_FINGER_TIP,311,180,five
HandLandmark.RING_FINGER_MCP,328,352,five
HandLandmark.RING_FINGER_PIP,333,285,five
HandLandmark.RING_FINGER_DIP,337,241,five
HandLandmark.RING_FINGER_TIP,339,202,five
HandLandmark.PINKY_MCP,346,372,five
HandLandmark.PINKY_PIP,354,322,five
HandLandmark.PINKY_DIP,358,287,five
HandLandmark.PINKY_TIP,361,254,five
HandLandmark.WRIST,313,518,five
HandLandmark.THUMB_CMC,282,484,five
HandLandmark.THUMB_MCP,258,426,five
HandLandmark.THUMB_IP,243,373,five
HandLandmark.THUMB_TIP,227,336,five
HandLandmark.INDEX_FINGER_MCP,287,349,five
HandLandmark.INDEX_FINGER_PIP,279,280,five
HandLandmark.INDEX_FINGER_DIP,275,240,five
HandLandmark.INDEX_FINGER_TIP,274,203,five
HandLandmark.MIDDLE_FINGER_MCP,308,342,five
HandLandmark.MIDDLE_FINGER_PIP,308,267,five
HandLandmark.MIDDLE_FINGER_DIP,309,220,five
HandLandmark.MIDDLE_FINGER_TIP,311,180,five
HandLandmark.RING_FINGER_MCP,328,352,five
HandLandmark.RING_FINGER_PIP,333,284,five
HandLandmark.RING_FINGER_DIP,337,241,five
HandLandmark.RING_FINGER_TIP,339,202,five
HandLandmark.PINKY_MCP,346,372,five
HandLandmark.PINKY_PIP,354,321,five
HandLandmark.PINKY_DIP,358,287,five
HandLandmark.PINKY_TIP,361,253,five
